,machine_id,os_type,duree_connexion,nombre_requetes,volume_donnees,statut_connexion
0,M1381,linux,124.8417128228712,80,464.2093000955391,success
1,M996,linux,203.3992427226081,212,696.5908744299338,success
2,M1411,macos,71.0995026862237,213,430.46209900987606,success
3,M1448,windows,150.11807917682245,216,341.4917270387713,failed
4,M1448,android,182.8370345969048,79,259.87376829481747,success
5,M167,android,143.47998244995398,224,289.311324589568,success
6,M127,windows,113.24245193193217,198,312.9535574823745,failed
7,M1247,android,110.82015994819216,168,679.2860730798614,success
8,M1338,windows,145.6613086503058,234,424.5172344209975,success
9,M162,macos,156.6101952662626,258,601.2618172886779,failed
10,M1279,windows,162.46896358223358,280,492.6084171444241,success
11,M1005,macos,165.25916798195678,116,694.7183574594776,failed
12,M275,android,160.6692250898414,90,576.8091421922279,failed
13,M398,windows,147.5158849606701,168,464.76063067894336,failed
14,M1127,android,174.38769821485647,198,514.1090316715156,failed
15,M346,linux,120.77146909188949,181,714.2885338552924,success
16,M1470,linux,96.67817757175146,139,452.8366083342265,failed
17,M1047,linux,77.87823441714164,138,602.0253386775805,success
18,M1377,linux,88.95111888272896,142,356.11271221368827,failed
19,M200,linux,103.0094152872334,241,497.1549194747965,success
20,M293,android,81.9039163758711,260,502.4134291213114,failed
21,M1199,windows,65.91182204163624,213,519.1819120259672,failed
22,M1250,linux,137.81277543905247,152,564.9375440100988,failed
23,M1171,android,129.17317766009091,145,197.20377787546693,failed
24,M1408,macos,120.77146909188949,215,476.3341419426327,success
25,M835,windows,157.9608117182651,169,353.96581739331475,failed
26,M808,android,120.77146909188949,70,617.6885895901727,failed
27,M577,windows,105.66537243013263,180,516.8440732885185,failed
28,M1450,macos,109.97088311587352,287,488.9030621763088,failed
29,M1349,windows,145.236299517676,255,459.4824991961339,failed
30,M1023,macos,166.13863314449074,87,850.8917713359908,failed
31,M686,windows,120.77146909188949,128,341.8532996308494,success
32,M96,linux,185.7969151255415,139,583.8435088278421,failed
33,M934,android,120.77146909188949,146,345.2151279582046,failed
34,M405,android,75.53227560945031,216,395.99988447124673,failed
35,M652,windows,183.01729576759817,158,403.2777926033304,failed
36,M1494,windows,153.4532972413038,213,527.1768788121058,success
37,M1242,macos,83.4017162777051,247,370.5857709469713,failed
38,M918,macos,107.13018434467502,284,836.585712322831,success
39,M21,android,92.6712890188666,239,469.2962831624941,success
40,M321,windows,104.552509363619,274,574.5051985304904,failed
41,M663,macos,81.78456200626427,184,619.5213237464717,success
42,M432,linux,59.09252825878481,206,544.5293408811226,failed
43,M313,android,96.10363774428916,257,534.5475102104359,success
44,M807,android,144.58343134073058,202,254.98039886530373,success
45,M1131,linux,145.02161682106865,193,242.217941287036,failed
46,M1499,linux,97.51513702231703,145,293.98747332089107,failed
47,M733,windows,131.1941970616513,157,502.4134291213114,failed
48,M1170,linux,151.03803682530562,199,556.8568014200015,success
49,M784,android,74.81126942851874,119,502.4134291213114,failed
50,M917,linux,123.5371568312512,245,577.8641444150926,success
51,M1053,windows,113.27677888783752,243,569.4834957796081,success
52,M1492,linux,126.65039717746345,282,691.7295979486126,failed
53,M359,linux,141.80708919289413,264,325.67573366533367,failed
54,M656,android,68.59213805261854,213,552.6003413982731,failed
55,M827,windows,87.46046843791262,175,584.2139593520786,failed
56,M364,linux,112.20126866854868,249,207.75076589900908,success
57,M41,windows,142.4979131176109,232,387.9009722072505,failed
58,M383,macos,146.34776490720589,191,589.9575799152327,success
59,M1296,linux,45.4541568659979,144,594.5167409215408,failed
60,M1415,windows,138.42097717470614,218,381.853710221785,failed
61,M1427,android,120.77146909188949,163,648.8424891979183,success
62,M411,linux,157.1885272449353,147,301.05812003993697,success
63,M917,linux,144.5474430192735,252,502.4134291213114,success
64,M802,linux,151.92524786365357,143,502.4134291213114,success
65,M626,macos,199.3068817559347,189,237.03105159799048,failed
66,M1122,linux,110.2872601498579,242,519.5658169006161,success
67,M1105,windows,95.8768375240834,234,505.8314727138196,success
68,M489,linux,118.11099050489194,235,238.0097968162536,success
69,M865,windows,78.70524109962854,161,504.6030638719104,success
70,M391,linux,120.77146909188949,248,291.4330436605694,success
